annee_mutation,valeur_fonciere,nom_commune,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude,code_commune
2019,450000,Abbaretz,82,3,2012,-1.478688,47.540574,1
2020,142000,Abbaretz,60,3,262,-1.532729,47.552325,1
2020,142000,Abbaretz,50,2,262,-1.532729,47.552325,1
2020,142000,Abbaretz,60,3,262,-1.532729,47.552325,1
2020,170000,Abbaretz,52,3,435,-1.535016,47.549604,1
2020,170000,Abbaretz,62,4,435,-1.535016,47.549604,1
2021,50000,Ahuillé,27,4,287,-0.871239,48.018826,2
2020,71000,Ahuillé,42,3,245,-0.871363,48.019156,2
2020,71000,Ahuillé,40,3,245,-0.871363,48.019156,2
2020,71000,Ahuillé,74,3,245,-0.871363,48.019156,2
2020,71000,Ahuillé,32,2,245,-0.871363,48.019156,2
2017,115000,Ahuillé,71,4,190,-0.87076,48.01996,2
2017,115000,Ahuillé,79,3,190,-0.87076,48.01996,2
2017,115000,Ahuillé,30,2,101,-0.870654,48.01997,2
2017,115000,Ahuillé,30,2,101,-0.870654,48.01997,2
2017,60200,Ahuillé,74,3,245,-0.871363,48.019156,2
2017,60200,Ahuillé,32,2,245,-0.871363,48.019156,2
2017,60200,Ahuillé,42,3,245,-0.871363,48.019156,2
2017,60200,Ahuillé,40,3,245,-0.871363,48.019156,2
2017,115000,Aigné,64,1,98,0.11913,48.065926,3
2017,115000,Aigné,54,1,98,0.11913,48.065926,3
2021,350000,Aigrefeuille-sur-Maine,58,2,371,-1.399699,47.076826,4
2021,350000,Aigrefeuille-sur-Maine,64,2,371,-1.399699,47.076826,4
2021,350000,Aigrefeuille-sur-Maine,61,3,371,-1.399699,47.076826,4
2021,350000,Aigrefeuille-sur-Maine,20,1,371,-1.399699,47.076826,4
2020,155000,Aigrefeuille-sur-Maine,51,3,87,-1.399326,47.076777,4
2020,155000,Aigrefeuille-sur-Maine,51,2,87,-1.399326,47.076777,4
